date,number_of_marriage
2021-10-20,20
2021-05-30,19
2022-11-12,10
2021-08-24,18
2019-05-21,12
2021-01-18,13
2023-10-29,21
2020-08-06,12
2023-05-29,25
2021-01-13,15
2023-05-16,22
2022-04-12,22
2023-01-08,18
2021-02-16,14
2021-12-11,11
2023-06-26,15
2022-06-28,19
2020-10-06,12
2023-10-20,12
2023-03-07,19
2023-07-29,21
2022-01-04,12
2021-09-03,14
2022-01-16,14
2020-04-09,14
2020-09-29,15
2019-06-16,25
2020-12-12,7
2020-12-29,7
2021-03-03,21
2020-12-06,18
2023-06-13,12
2019-03-27,9
2023-02-07,12
2023-09-30,20
2020-04-15,14
2019-03-07,10
2023-03-20,12
2022-06-16,16
2020-11-19,21
2022-10-25,21
2022-02-17,15
2021-01-10,13
2020-10-26,15
2019-05-31,20
2020-10-27,15
2019-10-06,15
2021-05-08,14
2020-09-30,16
2022-11-27,17
2021-01-28,17
2021-08-02,9
2021-08-10,26
2019-09-30,7
2021-10-15,17
2020-11-03,17
2023-04-05,14
2020-08-19,7
2023-11-01,20
2023-08-16,13
2023-07-07,13
2019-03-01,26
2021-04-26,12
2022-06-01,13
2019-08-16,14
2022-08-27,11
2021-02-19,15
2018-12-31,14
2023-05-15,14
2021-12-09,14
2023-11-10,16
2021-10-31,15
2023-09-24,14
2020-08-01,16
2020-09-26,18
2021-04-29,20
2021-07-05,8
2019-01-01,11
2023-12-10,17
2020-11-12,15
2022-03-27,12
2019-07-13,10
2021-07-17,18
2021-08-09,5
2019-11-08,17
2020-02-06,21
2020-11-28,20
2022-09-25,14
2022-03-25,13
2020-03-16,20
2019-09-28,22
2020-12-04,18
2023-12-06,15
2021-07-22,12
2019-08-08,9
2020-10-16,17
2022-04-13,13
2020-05-03,21
2020-05-16,20
2020-12-30,15
